District ID	District	School ID	School	Subject	Grade	% Proficient  2017-18	% Proficient  2018-19	% Proficient  2021-22	% Proficient  2022-23	% Proficient  2023-24
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	3	--	--	--	--	*
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	4	*	*	*	*	*
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	5	*	*	--	*	*
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	6	*	*	--	--	*
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	7	*	*	--	--	--
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	8	--	*	--	--	*
2063	Adel SD 21	498	Adel Elementary School	English Language Arts	All Grades	*	*	*	*	40.0
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	3	35.7	50.0	65.0	66.7	81.3
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	4	64.0	29.4	61.5	60.9	79.3
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	5	90.9	76.7	88.2	84.2	72.7
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	6	80.0	79.3	37.5	81.0	65.0
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	7	71.4	65.5	38.1	52.4	90.5
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	8	76.2	66.7	47.6	50.0	55.0
2113	Adrian SD 61	707	Adrian Elementary School	English Language Arts	All Grades	71.5	64.4	54.3	65.9	74.2
2113	Adrian SD 61	708	Adrian High School	English Language Arts	11	92.9	63.2	64.3	62.5	80.0
2113	Adrian SD 61	708	Adrian High School	English Language Arts	All Grades	92.9	63.2	64.3	62.5	80.0
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	3	16.7	*	36.8	17.4	12.5
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	4	17.6	20.0	25.0	16.0	22.7
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	5	*	46.2	23.5	21.1	7.1
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	6	10.0	15.4	28.6	28.6	13.3
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	7	< 5.0%	38.5	35.3	36.0	23.1
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	8	*	8.3	*	32.1	< 5.0%
1899	Alsea SD 7J	17	Alsea Charter School	English Language Arts	11	50.0	*	--	41.7	23.1
