District ID	District	School ID	School	Subject	Grade	% Proficient  2017-18	% Proficient  2018-19	% Proficient  2021-22	% Proficient  2022-23	% Proficient  2023-24
2063	Adel SD 21	498	Adel Elementary School	Mathematics	3	--	--	--	--	*
2063	Adel SD 21	498	Adel Elementary School	Mathematics	4	*	*	*	*	*
2063	Adel SD 21	498	Adel Elementary School	Mathematics	5	*	*	--	*	*
2063	Adel SD 21	498	Adel Elementary School	Mathematics	6	*	*	--	--	*
2063	Adel SD 21	498	Adel Elementary School	Mathematics	7	*	*	--	--	--
2063	Adel SD 21	498	Adel Elementary School	Mathematics	8	--	*	--	--	*
2063	Adel SD 21	498	Adel Elementary School	Mathematics	All Grades	*	*	*	*	70.0
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	3	57.1	45.0	75.0	59.3	87.5
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	4	44.0	17.6	30.8	47.8	82.8
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	5	68.2	63.3	93.8	73.7	54.5
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	6	40.0	48.3	29.2	57.1	50.0
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	7	61.9	24.1	19.0	33.3	66.7
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	8	52.4	54.2	28.6	33.3	33.3
2113	Adrian SD 61	707	Adrian Elementary School	Mathematics	All Grades	53.7	43.6	44.3	51.2	62.8
2113	Adrian SD 61	708	Adrian High School	Mathematics	11	50.0	26.3	35.7	20.8	20.0
2113	Adrian SD 61	708	Adrian High School	Mathematics	All Grades	50.0	26.3	35.7	20.8	20.0
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	3	33.3	*	15.8	20.0	20.8
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	4	17.6	13.3	13.0	8.7	13.6
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	5	*	23.1	6.3	< 5.0%	< 5.0%
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	6	< 5.0%	7.1	36.4	10.0	< 5.0%
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	7	< 5.0%	31.3	6.3	22.7	25.0
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	8	*	*	*	22.2	< 5.0%
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	11	16.7	*	--	27.3	23.1
1899	Alsea SD 7J	17	Alsea Charter School	Mathematics	All Grades	14.3	19.8	15.2	15.8	12.6
2252	Amity SD 4J	1208	Amity Elementary School	Mathematics	3	41.7	52.2	28.0	40.7	38.9
2252	Amity SD 4J	1208	Amity Elementary School	Mathematics	4	49.3	40.0	41.4	22.5	20.4
2252	Amity SD 4J	1208	Amity Elementary School	Mathematics	5	38.4	43.5	9.1	35.3	12.5
2252	Amity SD 4J	1208	Amity Elementary School	Mathematics	All Grades	43.1	44.8	24.4	31.7	23.2
2252	Amity SD 4J	1210	Amity High School	Mathematics	11	16.4	22.9	*	*	7.1
2252	Amity SD 4J	1210	Amity High School	Mathematics	All Grades	16.4	22.9	*	*	7.1
2252	Amity SD 4J	1209	Amity Middle School	Mathematics	6	21.3	41.6	15.6	13.0	17.9
2252	Amity SD 4J	1209	Amity Middle School	Mathematics	7	31.1	17.9	8.9	18.9	9.6
2252	Amity SD 4J	1209	Amity Middle School	Mathematics	8	18.5	17.2	14.3	10.0	10.5
2252	Amity SD 4J	1209	Amity Middle School	Mathematics	All Grades	23.9	27.2	12.9	13.5	12.4
2111	Annex SD 29	705	Annex Charter School	Mathematics	3	*	61.5	*	*	*
2111	Annex SD 29	705	Annex Charter School	Mathematics	4	7.1	66.7	< 5.0%	*	*
2111	Annex SD 29	705	Annex Charter School	Mathematics	5	*	16.7	*	33.3	*
2111	Annex SD 29	705	Annex Charter School	Mathematics	6	9.1	*	*	*	58.3
2111	Annex SD 29	705	Annex Charter School	Mathematics	7	54.5	*	*	50.0	*
2111	Annex SD 29	705	Annex Charter School	Mathematics	8	*	33.3	< 5.0%	--	--
2111	Annex SD 29	705	Annex Charter School	Mathematics	All Grades	25.0	36.9	31.5	46.3	52.9
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	3	50.0	64.3	23.1	41.7	*
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	4	45.5	*	*	*	16.7
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	5	26.7	15.4	20.0	27.3	20.0
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	6	72.7	37.5	53.3	*	35.7
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	7	21.4	64.3	*	13.3	*
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	8	*	38.5	25.0	*	6.3
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	11	*	*	16.7	25.0	14.3
2005	Arlington SD 3	323	Arlington Community Charter School	Mathematics	All Grades	46.1	41.4	30.0	20.3	18.2
2115	Arock SD 81	711	W W Jones Elementary School	Mathematics	3	*	*	--	*	*
2115	Arock SD 81	711	W W Jones Elementary School	Mathematics	4	--	*	*	--	*
