id	name	district	lat	long
1	Baker Middle School	Baker SD 5J	44.7773595	-117.8348594
2	Brooklyn Primary School	Baker SD 5J	44.7773273	-117.8212385
4	Haines Elementary School	Baker SD 5J	43.8041334	-120.5542012
5	Keating Elementary School	Baker SD 5J	44.7748748	-117.8343848
7	South Baker Intermediate School	Baker SD 5J	44.7704957	-117.833804
8	Baker High School	Baker SD 5J	44.787324	-117.8383836
15	Pine Eagle Charter School	Pine Eagle SD 61	44.8827209	-117.1161117
17	Alsea Charter School	Alsea SD 7J	44.3808631	-123.5951232
18	Blodgett Elementary School	Philomath SD 17J		
20	Philomath Elementary School	Philomath SD 17J		
21	Philomath Middle School	Philomath SD 17J		
22	Philomath High School	Philomath SD 17J		
27	Adams Elementary School	Corvallis SD 509J	44.5514852	-123.2882968
28	Cheldelin Middle School	Corvallis SD 509J	44.601108	-123.237339
30	Garfield Elementary School	Corvallis SD 509J	44.583626	-123.264741
33	Bessie Coleman Elementary School	Corvallis SD 509J	44.592501	-123.292581
35	Kathryn Jones Harrison Elementary School	Corvallis SD 509J	44.5859542	-123.2806317
36	Lincoln Elementary School	Corvallis SD 509J	44.5449908	-123.2655722
37	Mt View Elementary School	Corvallis SD 509J	44.6284389	-123.2394825
38	Linus Pauling Middle School	Corvallis SD 509J	44.5865632	-123.2637668
39	Letitia Carson Elementary School	Corvallis SD 509J	44.59520999999999	-123.256477
40	Corvallis High School	Corvallis SD 509J	44.574988	-123.2681564
41	Crescent Valley High School	Corvallis SD 509J	44.615625	-123.263791
43	Monroe High School	Monroe SD 1J	44.3183227	-123.2974956
45	Cedaroak Park Primary School	West Linn-Wilsonville SD 3J	45.3886089	-122.6340674
46	Inza R Wood Middle School	West Linn-Wilsonville SD 3J	45.30128699999999	-122.7930873
47	Stafford Primary School	West Linn-Wilsonville SD 3J	45.3776901	-122.702575
48	Sunset Primary School	West Linn-Wilsonville SD 3J	45.36152939999999	-122.6272601
51	West Linn High School	West Linn-Wilsonville SD 3J	45.3640822	-122.6163404
53	Forest Hills Elementary School	Lake Oswego SD 7J	45.4260187	-122.6762199
54	Hallinan Elementary School	Lake Oswego SD 7J	45.4045599	-122.664459
55	Lake Grove Elementary School	Lake Oswego SD 7J	45.4122962	-122.7191952
56	River Grove Elementary School	Lake Oswego SD 7J	45.3893336	-122.7363354
58	Westridge Elementary School	Lake Oswego SD 7J	45.3950348	-122.7120242
59	Lake Oswego Middle School	Lake Oswego SD 7J	45.4192504	-122.6629863
60	Lakeridge Middle School	Lake Oswego SD 7J	45.3961964	-122.7267347
61	Lake Oswego High School	Lake Oswego SD 7J	45.4271551	-122.7021062
62	Lakeridge High School	Lake Oswego SD 7J	45.3976014	-122.6937915
65	Bilquist Elementary School	North Clackamas SD 12	45.4094977	-122.5886912
72	Whitcomb Elementary School	North Clackamas SD 12	45.4424998	-122.5871259
76	Riverside Elementary School	North Clackamas SD 12		
78	Sunnyside Elementary School	North Clackamas SD 12	45.4256643	-122.5287081
79	View Acres Elementary School	North Clackamas SD 12	45.4176085	-122.6129917
84	Rowe Middle School	North Clackamas SD 12		
85	Clackamas High School	North Clackamas SD 12		
86	Milwaukie High School	North Clackamas SD 12		
87	Putnam High School	North Clackamas SD 12		
88	Welches Elementary School	Oregon Trail SD 46	45.3435041	-121.9487035
90	Deep Creek – Damascus K-8 School	Gresham-Barlow SD 10J	45.4097747	-122.4227066
92	Carus School	Canby SD 86	45.270742	-122.571908
93	Clarkes Elementary School	Molalla River SD 35	45.2151718	-122.4738922
94	Molalla Elementary School	Molalla River SD 35	45.153543	-122.5946799
95	Molalla River Middle School	Molalla River SD 35	45.1511417	-122.589036
96	Naas Elementary School	Oregon Trail SD 46	45.4343595	-122.3784464
97	Boring Middle School	Oregon Trail SD 46	45.43243400000001	-122.3774477
99	Kelso Elementary School	Oregon Trail SD 46	45.4205101	-122.3069051
100	Sandy Grade School	Oregon Trail SD 46	45.3983032	-122.2624711
101	Firwood Elementary School	Oregon Trail SD 46	45.3742189	-122.2217469
102	Cedar Ridge Middle School	Oregon Trail SD 46	45.4000362	-122.2704124
103	Colton Elementary School	Colton SD 53	45.1656397	-122.4174666
104	Colton High School	Colton SD 53	45.17058189999999	-122.4388177
105	Beavercreek Elementary School	Oregon City SD 62	45.2886045	-122.5165557
106	Candy Lane Elementary School	Oregon City SD 62	45.3932589	-122.6026452
107	Holcomb Elementary School	Oregon City SD 62	45.374407	-122.565338
109	Gaffney Lane Elementary School	Oregon City SD 62	45.32527779999999	-122.5905366
114	John McLoughlin Elementary School	Oregon City SD 62	45.3279062	-122.629073
115	Gardiner Middle School	Oregon City SD 62	45.3380834	-122.6017788
116	Tumwata Middle School	Oregon City SD 62	45.35622960000001	-122.5764057
118	Oregon City Senior High School	Oregon City SD 62	45.3202735	-122.5608224
119	Butte Creek Elementary School	Silver Falls SD 4J		
121	Mulino Elementary School	Molalla River SD 35	45.220529	-122.580668
122	William Knight Elementary School	Canby SD 86	45.2649486	-122.6979331
124	Howard Eccles Elementary School	Canby SD 86	45.2638367	-122.7014672
127	Ninety-One School	Canby SD 86	45.1773166	-122.7456898
128	Rural Dell Elementary School	Molalla River SD 35	45.1486244	-122.6510391
131	Clackamas River Elementary School	Estacada SD 108	45.2913228	-122.3325804
132	River Mill Elementary School	Estacada SD 108	45.29685019999999	-122.3347377
134	Estacada Middle School	Estacada SD 108	45.2936056	-122.3332086
135	Estacada High School	Estacada SD 108	45.2955106	-122.3315448
136	John Wetten Elementary School	Gladstone SD 115	45.3824149	-122.5930707
137	Walter L Kraxberger Middle School	Gladstone SD 115	45.389014	-122.5931807
138	Gladstone High School	Gladstone SD 115	45.38716549999999	-122.5972446
